id,app,storefront,rating,date,final_wish,title,content
En-US-252,Endel,US,1,2026-04-03,account / cancellation / restore,App is a scam,There’s no way to cancel your free trial and then they charge you for the full year. They only let you cancel your subscription after the trial ended so there’s no way to prevent the annual charge. I reached out to customer service and got no response. Huge scam
En-US-258,Endel,US,3,2026-04-02,bugs/fixes (stability wishes),Stops playing after 10 minutes,"I love this app and I was using it every night to go to sleep until I updated yesterday and now after playing for 10 minutes it pauses for no reason. I don't know if this is a new limitation or a bug. I would appreciate it if it was fixed if it is a bug. Either way please let me know what's going on. Thank you.

update: 

I updated to premium, but no matter how much I click on the restore button or login, still it doesn't recognize me as premium and I'm still stuck with the free limitations. Even worse, it forced me to subscribe to the yearly plan, but still after payment, I cannot use it. I have tried different IP addresses, thinking that maybe the issue is on my side. Please fix this. I also couldn't find any way to contact your support about this either"
En-US-260,Endel,US,1,2026-04-01,account / cancellation / restore,Too expensive and won't stop trying to bill me,I don't want to be on the hook for another 100+ subscription and they won't let me cancel completely so I keep getting spam emails about the failed billing. Very annoying. No way to fully end your account after they have your email.
En-US-266,Endel,US,1,2026-03-28,account / cancellation / restore,Charge even if cancel,Tried to charge after I cancelled subscription.  I need to make sure it’s cancelled and I have not heard back from anyone!!!!!
En-US-284,Endel,US,5,2026-03-23,customization / mix-your-own / controls,Love it_1 suggestion/request,"I love this app. It grounds my ADHD in a way that nothing else has ever been able to do. Can we please add a feature that allows the ability to adjust beats RPMs for certain playlist?

That or create playlist with various RPMs for runners

I love using this app for working out but it doesn’t work well for my run. Can’t get the pacing right. If you guys had this, the app would be goated"
En-US-286,Endel,US,3,2026-03-23,account / cancellation / restore,Good but,"I loved it but once I cancelled the subscription I still had 4 months left on my subscription and I’m out in the cold, can’t sign back in, no way to contact support.  I enjoyed the ap but for the difficulty in signing in, getting kicked out was frustrating.  Maybe they can work on this!  Good app but for this issue."
En-US-288,Endel,US,3,2026-03-23,more variety / more soundscapes & music,Interesting but wasn’t compelled to subscribe,Interesting concept. I was drawn in by an ad with sounds it said would be good for ADHD people trying to focus. I started with the free version and I like the interface a lot but the music was very different from the ad that drew me in. I Shazam’d the focus track and found it was a single from a house musician and was disappointed. It was good music but I can find good music for focusing on my existing subscriptions.
En-US-290,Endel,US,3,2026-03-22,customization / mix-your-own / controls,Confused,I truly don’t understand why there’s no option to favorite certain soundscapes
En-US-296,Endel,US,1,2026-03-19,account / cancellation / restore,Tried the app it billed and did not show in Apple Subscriptions,The app itself is good but the billing practice is fraudulent. It charged over a hundred dollars to my bank and did not show up in Apple Subscriptions. It was a trial it should have done better connecting to Apple Pay visibly not through some back door. I used it one day.
En-DE-021,Endel,DE,2,2026-06-11,stop upsell / ads / push nagging,Huge Fan BUT,"I’m a huge fan of Endel. Really like using it as a productivity tool for focusing, relaxing, meditation or falling asleep. And I’m a long time subscribers now for more then 2 years. 
Not on the BUT: why do I more or less everything when I open the app get an advertisement for the „Upgrade to Endel Lifetime“ with no option to permanently deactivate it? I don’t want that, I want to be able to quickly turn Endel on and not every time click away these advertisements..
Please remove this or at least give the option to deactivate it."
En-DE-026,Endel,DE,4,2026-05-21,quality / higher-fidelity audio,8D Odyssee,"Die 8D Odyssee in Endel ist wirklich fantastisch.
Eine alternative Soundauswahl in diesem Bereich ohne dauerhaftes Wellenrauschen  wäre super."
En-DE-032,Endel,DE,1,2026-04-15,stop upsell / ads / push nagging,"Stop the intrusive lifetime ads, at every startup (again, they are back, I already have premium!)","I love Endel, but for an app that is all about well-being, it is really annoying that every time I open the app I’m confronted with an ad to take a lifetime premium subscription and giving me stress about missing a once in a lifetime deal. I already have a premium subscription and I do not want to commit to more than a year. This has been like this for a long period now. Will give 5 stars again when you remove it or at least give us to option to hide it for a period of time. Thank you. Keep up the great work the app is amazing and getting better (have been happily using it for years)"
En-DE-059,Endel,DE,2,2026-01-07,desktop / mac / windows / web version,"iPhone app is great, Mac app needs an update","Missing many of the features of the iPhone app, incl. the colored noise. Why not just enable us to install the fully featured iPhone/iPad app if you don’t have the resources to maintain this separate Mac app (last update was a year ago), would be a much better experience. Another benefit with that is that you can put the visual/timer on another screen."
En-DE-077,Endel,DE,3,2025-10-20,desktop / mac / windows / web version,Great app but only on iPhone,"The more features are released on Endel for iPhone, the more frustrating is the Mac app. I really like the app, and I use it every day, but when I’m working it’s a shame that I have to change to my phone to be able to make use of the cool features. I wish the Mac app had the same usability as the iPhone."
En-DE-095,Endel,DE,1,2025-08-19,visuals / UI / navigation / simplicity,Abzocke,"Wenn man sowas schon als Entspannungshilfe bewirbt, dann sollte man erst mal das Menu und die Funktionen zeigen und nicht Fragen abfragen, die zum Teil geradezu als intim empfunden werden und das mit einem lapidaren Hinweis auf Datenschutz um dann am Ende einem die Pistole auf die Brust zu setzen, dass man entweder 60€ zahlt oder nicht mal Grundfunktionen testen kann.
Und nein, eine Testversion von 3 Tagen, zu der ich erst mal zustimmen muss, dass ich Geld zahle, deutet nur auf die Hoffnung hin, dass jemand der ADHS hat schon vergessen rechtzeitig den Testzeitraum zu kündigen und man billig Umsatz macht 
Das fällt für mich unter abzocke, da kann mein nach Ablauf des Test Zeitraums einfach die App sperren, machen andere auch.
Finger weg von sowas"
En-DE-100,Endel,DE,3,2025-08-06,desktop / mac / windows / web version,Block apps on mac would be great,"Expensive for what it offers, but if block apps gets added to the mac app, I will probably renew the subscribtion anyways"
En-DE-121,Endel,DE,1,2025-06-17,quality / higher-fidelity audio,KI Stimme für 60€,"Gruselig. Die Idee und die Geräuschkulisse könnte wirklich funktionieren, aber das sämtliche Kurse mit einer extrem schlechten KI Stimme gesprochen wird, macht mich wahnsinnig und bewirkt genau das Gegenteil. Dafür 60 Euro zu verlangen ist eine Frechheit. Für den Preis sollte man professionelle Sprecher erwarten können und keine Computerstimme, die mir mit einer Terminatortonlage befiehlt, ich solle mich entspannen."
En-DE-122,Endel,DE,4,2025-06-15,more variety / more soundscapes & music,"Great Focus Modes, Background Sounds Could Improve","Dynamic and Deeper focus modes do a solid job boosting focus with immersive beats. Adding more natural sounds like rain, wind, or birds alongside the beats would make the experience more calming and immersive. Overall, a well-designed app that could be even better with improved background sounds."
En-DE-123,Endel,DE,4,2025-06-10,visuals / UI / navigation / simplicity,UI is frustrating to navigate,"Great app but the UI and categorizations of sounds makes it a bit irritating to find something and just play it.

As someone suffering from intense emotional dysregulation due to ADHD, the solfeggio tones are exactly what i need. Except they‘re great for about 5 seconds until the incredibly intrusive and loud synths kick in and drown out the actual tone, turning it into nothing more than generic spa music which imo completely defeats the purpose. Please make it an option to just hear the tone. If anything the synths should be transient and not persistent throughout the whole experience."
En-DE-125,Endel,DE,4,2025-05-07,desktop / mac / windows / web version,Just missing some features,"Honestly I love it, just wondering why for example the pomodore-timer isn’t in the app for the Mac. Some soundscapes are missing too. 
But I feel like all those can hopefully come with the next update, will See."
En-DE-141,Endel,DE,4,2025-03-25,desktop / mac / windows / web version,Gut aber abgespeckt,"Ich nutze Endel jetzt schon seit längerer Zeit und bin sehr zufrieden. Ich weiß jedoch nicht, warum die Version für den Mac nicht alle Features der App bekommt… Mir fehlt vor Allem die Focus-Timer Funktion und ein paar andere Funktionen welche in der App enthalten sind."
En-DE-151,Endel,DE,3,2025-02-24,visuals / UI / navigation / simplicity,Zu kompliziert,"Ich finde die Idee und die Klänge gut, aber ich finde die Menge an Funktionen und den Aufbau generell mit vielen Symbolen etc. viel zu kompliziert, sodass man teilweise schon überfordert ist. Man sollte die Funktionen klarer und einfacher gestalten."
En-DE-153,Endel,DE,4,2025-02-21,bugs/fixes (stability wishes),Irgendwie doch gut! Bin zurück und habe abonniert,"Ich hatte die App nach den Probeabo gelöscht, doch irgendwann fehlten mir doch die Sounds. Nun bin ich zurück und Premium Abonnent. Ich nutze hauptsächlich die Focus und Relax Szenerien. 

Dennoch einige Kritik:
Seit dem Update heute (21.Feb25) funktioniert das Anti  Tinitus Szenario nicht mehr! Bitte beheben!

Die Übersichtlichkeit finde ich weiterhin verbesserungswürdig. Irgendwie ist die Navigation umständlich, wenn man wechseln will.

Ich möchte Endel dennoch nicht mehr missen!"
En-DE-178,Endel,DE,3,2024-11-29,desktop / mac / windows / web version,Great Idea but execution is meh,"Endel is a great idea. Especially the design is crazy good. Lot of work went into it. You can see and feel it. Endel is not just another money grabbing app. Thats for sure. But it still kinda feels like a paid beta. The Mac app is limited. Autoplay, 852hz etc are missing. The cpu usage is pretty high for a “music player”, even on M3s. The menu bar icon is basically useless. Regarding the high price, I would say the Mac app isn’t worth the money. At least for now… But there is still a lot of potential."
En-DE-189,Endel,DE,5,2024-10-19,more variety / more soundscapes & music,Ein wirklich gelungenes Programm,"Die App verbindet die physischen Daten des Nutzers (wenn eine Smartwatch benutzt wird) mit den kosmischen (zirkardianrhythmisch) - und zwar regionalspezifisch (Wetterapp und Standortdaten). Sie spielt Klänge über einen Synthesizer ab. Vier Klangprogramme bilden die eingespeisten Daten ab. Dabei gibt es vier frei wählbare Klangvarianten - je nachdem, was man erreichen will: Beruhigung (Rest) Konzentration (Fokus), Ab- oder Anspannung (Go to) und schließlich Schlaf (Sleep). Es gibt im Internet eine Variante mit Gesang. Die sollte in die App integriert werden. Interessant wäre sicher auch die Kopplung mit einem Emotions-/ Gehirnwellensensor (Stirnband). Drittens schlage ich vor, dass ein Expertenmodus eingebaut wird, der Nutzungsempfehlungen und Verhaltensempfehlungen sowie persönliche Gesundheitstipps produziert. Die jährlichen Kosten für die Nutzung der aktuellen Version sind moderat. Man kann die App auch ohne Anbindung an individuelle Daten nutzen. Dann sind die Klänge bei verschiedenen Personen gleich.

Update meiner Rezension (4.1.2022)

Großartig, daß und wie Ihr das weiterentwickelt

Update meiner Rezension
(19.10.2024)

Wie 4.1.2022.
Mein Wunsch wäre, daß Ihr eine Klangvariante schafft, die jeder individuell musikalisch trainieren kann."
En-DE-218,Endel,DE,4,2024-05-29,"sleep-specific features (smart alarm, wake-up)",Smart Alarm,I’ve been using this app exclusively for Smart Alarm. I like the way I woke up fresh. But recently I couldn’t find it anymore. It would be very unfortunate if you deleted it. I hope you bring it back
En-DE-220,Endel,DE,5,2024-05-27,visuals / UI / navigation / simplicity,Very nice app for cool seamless white noise,"I love the app and how it makes seamless soundscapes. I use it mostly for sleeping. 
Some recommendations: 
Make it horizontal compatible too so it can be used like “stand by” (like a night stand). 
If you put an alarm it would be good you can set the alarm and return to the screen. If you set an alarm it stays stuck with a message when the alarm will start. So if I want to let’s say re-start my soundscape I must cancel alarm, restart and set alarm again."
En-DE-229,Endel,DE,3,2024-02-02,stop upsell / ads / push nagging,"Tolle App, aber…","Super gelungene App die ich sehr oft und sehr gerne nutze. Vielen Dank. 

Deutlichen Punktabzug gibt es aber für viele unerwünschte Push Nachrichten, die man leider nicht abstellen kann, bzw. nur dann wenn man die erwünschten auch mit abstellt."
En-DE-239,Endel,DE,3,2023-11-14,integration: watch / wearable / smart home / casting,Da geht noch was,"Leider kein Dolby Atmos. Zudem über AppleTV nicht steuerbar, das Bild ist grauenhaft"
En-DE-252,Endel,DE,4,2023-09-30,customization / mix-your-own / controls,Super App! nur eine Sache fehlt,"Die App ist wirklich gut zum
Abschalten und um in eine konzentrierte Phase zu wechseln. Es fehlt mir nur eine Option oder die Möglichkeit binaurale Klänge einzuschalten. Wenn dies noch ergänzt wird gibt es 5 Sterne :)"
En-DE-256,Endel,DE,4,2023-07-21,playback controls (autoplay / background mode),Wird immer besser...,... fehlt eigentlich nur noch Autoplay
En-DE-258,Endel,DE,4,2023-07-11,integration: calendar / session stats,Great focus music,"I tend to have problem keeping my focus on the task at hand and entering a flow state. But the deep work on the Endel works wonders on me. I could finish so many writing tasks including my thesis by listening to the deep work on the headphones. 👌

Contra: I wish I could add the session to my google calendar afterwards so I can have an overview of my deep work in the past days or weeks. I’m not a person of doing habits at the same time and I wish there was more flexibility by syncing it with calendar online instead of asking me to do it next day at the same time."
En-DE-277,Endel,DE,4,2023-02-11,integration: watch / wearable / smart home / casting,Sehr gute App!,"Eine super App, die beim Entspannen, Fokussieren und Einschlafen hilft, das Investment war es definitiv wert!
Einen Wunsch habe jedoch: Die App für die Apple Watch sollte besser ausgebaut werden, ein Beispiel wäre die Möglichkeit, über die Apple Watch einen Timer auf dem iPhone einzustellen."
En-DE-279,Endel,DE,5,2023-02-06,"sleep-specific features (smart alarm, wake-up)",Wirklich großartig,"Diese App ist wirklich wunderbar. Ich genieße viele der angebotenen Szenarien wirklich sehr - und finde es toll, dass das große Angebot auch schon in der kostenlosen Version verfügbar ist. Wenn ich noch einen Wunsch frei hätte, würde ich mir ein Aufwach-Szenario kreieren lassen, dass mich  am Morgen innerhalb von einer Viertelstunde von einem kuscheligen Aufwachsound hin zu einem quirligen Tanzbeat pusht."
En-DE-285,Endel,DE,4,2022-12-25,playback controls (autoplay / background mode),"Super, aber noch einen Wunsch","Mit der Sleep-Funktion schlafe ich wirklich besser. Kleinere Geräusche, die mich sonst wecken, werden überdeckt.

Nervig finde ich allerdings, dass ich den „Hintergrundmodus“ jeden Abend wieder neu aktivieren muss, um nicht auf mein Hörbuch zu verzichten."
En-DE-290,Endel,DE,3,2022-12-07,visuals / UI / navigation / simplicity,Gut gemacht.,"Relax, Sleep und ein paar andere Modi sind ganz gut. Die Bedienung finde ich allerdings zu kompliziert und es gibt nur wenig individuell einzustellen. 
Das Schlimmste ist allerdings der verstörende Focus Modus. Wenn man doch wenigstens den Beat abstellen könnte. 
Einen Nachmittag im Focus und man braucht zwei Wochen Therapie 😉"
Br-US-029,Brain.fm,US,3,2026-07-08,feature removed (bring back workout mode),Bring back workout mode!!! Please!!!,"I love this app, and have been a long time subscriber. But im extremely disappointed that the developers decided to remove workout mode! It was helping me with my cardio workouts tremendously.. and I can’t perform the same without it. Random music on Spotify doesn’t cut it. 

Please bring it back!"
Br-US-038,Brain.fm,US,1,2026-06-11,account / cancellation / restore,Beware,"If you get your free trial online like through Facebook not the app
There is no way to cancel and you are charged."
Br-US-059,Brain.fm,US,1,2026-04-29,cheaper / pricing / free tier,Purchase?!,I heard about this app and I have adhd and can’t focus on things so I got the app not knowing that I’d have to do a purchase option either way so now I can’t use the app because I’m not gonna pay for an app and it’s just a bummer like I was so excited and now I’m bummed out …I wish it was free so Everyone could use it
Br-US-068,Brain.fm,US,5,2026-03-26,customization / mix-your-own / controls,Definitely helps my ADHD focus issues at least a bit!,"This app hasn’t been a transformative, life-changing discovery like some ads suggest, but I’ve been using it for over half a year now and I definitely notice some improvement in my focus and attention when using it! Exactly how much of a difference depends on the day/time/circumstances, but it’s enough that this has become a regular ADHD management tool for me, for everything from studying to working on creative projects, really anything that I need a focus boost for. 

The most significant improvement for me happens when my brain is hitting that boredom-burnout point on long assignments or study sessions. Putting on the music in this app helps get my brain out of the disengaged/distracted slump, or at least reduces how bad it is. If I was already having a relatively good focus day I don’t notice as much impact; I’m sure there’s still at least little, but it’s less obvious. 

As a side note, I’m really glad the app has the thumbs down button permanently skip songs. I have some misophonia and there have been several songs that had just the wrong combination of sounds in order to trigger it, but being able to simply remove those songs from rotation means that’s not a serious problem. 

I do wish there was a way to have playlists in addition to the favorites library though…"
Br-US-070,Brain.fm,US,3,2026-03-25,more variety / more soundscapes & music,Jazz and Piano,Could you add more piano and jazz music.
Br-US-080,Brain.fm,US,1,2026-03-11,cheaper / pricing / free tier,Deceptive,The app should make it clear that it requires a subscription before you download the app.
Br-US-101,Brain.fm,US,1,2026-02-11,customization / mix-your-own / controls,"Buggy onboarding, too harsh paywall, overpriced","While idea is nice, i deleted 1 minute later because i clicked wrong option on 1st screen and couldn’t change it anymore, then long wait time on screen that seemingly does something but it does absolutely nothing in real, only annoying wait time. Then, you have to start trial immediately or pay without even trying. Why would i commit to something and share my payment details for what i don’t know if it works at all. Closing that menu triggers paywall again and again, no way to explore the app. Overall subscription feels extremely overpriced and a poor quality app. I regret installing it and sharing my email."
Br-US-108,Brain.fm,US,5,2026-01-26,integration: watch / wearable / smart home / casting,"Works great, but missing an Apple Watch app","I use the app regularly to help me focus or relax, and I love it.

However, one thing I miss is being able to use it without my phone.
It would be great if Brain.fm had a watch app like Endel does 🙏"
